alert_id,customer_id,scenario,alert_date,alert_amount,risk_score,recommended_action,disposition,risk_level
ALT0001,CUST1019,Potential Structuring,2026-08-28,63452.72,88,Review,Pending,High
ALT0002,CUST1024,Potential Structuring,2026-08-01,61634.36,88,Review,Escalate to Case,High
ALT0003,CUST1029,Potential Structuring,2026-08-10,60019.96,88,Review,Close - No Suspicion,High
ALT0004,CUST1037,Potential Structuring,2026-08-07,55238.82,84,Review,Close - No Suspicion,Moderate
ALT0005,CUST1044,Potential Structuring,2026-08-05,72639.02,92,Review,Close - No Suspicion,Moderate
ALT0006,CUST1048,Potential Structuring,2026-08-25,61922.59,88,Review,SAR Consideration,High
ALT0007,CUST1077,Potential Structuring,2026-08-14,61860.63,88,Review,Pending,High
ALT0008,CUST1109,Potential Structuring,2026-08-31,61781.43,88,Review,Pending,High
ALT0009,CUST1165,Potential Structuring,2026-08-23,62892.88,88,Review,Pending,High
ALT0010,CUST1187,Potential Structuring,2026-05-31,61918.8,88,Review,Escalate to Case,Moderate
ALT0011,CUST1202,Potential Structuring,2026-07-04,64080.0,88,Review,Pending,Moderate
ALT0012,CUST1259,Potential Structuring,2026-08-20,71600.17,92,Review,Pending,Moderate
ALT0013,CUST1274,Potential Structuring,2026-09-05,60773.5,88,Review,Close - No Suspicion,High
ALT0014,CUST1298,Potential Structuring,2026-08-26,64450.25,88,Review,Escalate to Case,Moderate
ALT0015,CUST1143,High-Risk Jurisdiction Wire,2026-06-10,62575.29,77,Escalate,Pending,High
ALT0016,CUST1241,High-Risk Jurisdiction Wire,2026-04-27,20006.33,73,Escalate,Close - No Suspicion,High
ALT0017,CUST1252,High-Risk Jurisdiction Wire,2026-07-14,20015.55,73,Escalate,Close - No Suspicion,High
ALT0018,CUST1102,High-Risk Jurisdiction Wire,2026-09-04,46899.85,75,Escalate,Escalate to Case,High
ALT0019,CUST1241,High-Risk Jurisdiction Wire,2026-06-19,54555.41,76,Escalate,Close - No Suspicion,High
ALT0020,CUST1265,High-Risk Jurisdiction Wire,2026-01-13,29225.69,74,Escalate,Pending,High
ALT0021,CUST1116,High-Risk Jurisdiction Wire,2026-03-27,82008.79,78,Escalate,Close - No Suspicion,High
ALT0022,CUST1143,High-Risk Jurisdiction Wire,2026-06-30,67127.86,77,Escalate,Pending,High
ALT0023,CUST1099,High-Risk Jurisdiction Wire,2026-02-14,66323.19,77,Escalate,Close - No Suspicion,Moderate
ALT0024,CUST1099,High-Risk Jurisdiction Wire,2026-06-28,47997.87,75,Escalate,Pending,Moderate
ALT0025,CUST1182,High-Risk Jurisdiction Wire,2026-01-28,22385.13,73,Escalate,Pending,High
ALT0026,CUST1273,High-Risk Jurisdiction Wire,2026-05-08,15739.87,73,Escalate,Pending,High
ALT0027,CUST1182,High-Risk Jurisdiction Wire,2026-08-21,41471.23,75,Escalate,SAR Consideration,High
ALT0028,CUST1205,High-Risk Jurisdiction Wire,2026-06-20,78511.36,78,Escalate,Close - No Suspicion,High
ALT0029,CUST1132,High-Risk Jurisdiction Wire,2026-02-04,67876.63,77,Escalate,Pending,Moderate
ALT0030,CUST1247,High-Risk Jurisdiction Wire,2026-03-28,11709.75,72,Escalate,Close - No Suspicion,Moderate
ALT0031,CUST1122,High-Risk Jurisdiction Wire,2026-06-07,23798.75,73,Escalate,SAR Consideration,Moderate
ALT0032,CUST1014,High-Risk Jurisdiction Wire,2026-04-30,80842.0,78,Escalate,Close - No Suspicion,Moderate
ALT0033,CUST1204,High-Risk Jurisdiction Wire,2026-02-17,28195.95,74,Escalate,Close - No Suspicion,Moderate
ALT0034,CUST1205,High-Risk Jurisdiction Wire,2026-07-20,88937.93,79,Escalate,Close - No Suspicion,High
ALT0035,CUST1241,High-Risk Jurisdiction Wire,2026-09-03,21038.32,73,Escalate,Close - No Suspicion,High
ALT0036,CUST1132,High-Risk Jurisdiction Wire,2026-05-23,61641.91,77,Escalate,Escalate to Case,Moderate
ALT0037,CUST1070,High-Risk Jurisdiction Wire,2026-07-15,23070.42,73,Escalate,Pending,Moderate
ALT0038,CUST1102,High-Risk Jurisdiction Wire,2026-02-11,89504.09,79,Escalate,Pending,High
ALT0039,CUST1122,High-Risk Jurisdiction Wire,2026-01-07,34332.9,74,Escalate,Close - No Suspicion,Moderate
ALT0040,CUST1182,High-Risk Jurisdiction Wire,2026-01-10,48168.9,76,Escalate,Escalate to Case,High
ALT0041,CUST1132,High-Risk Jurisdiction Wire,2026-05-03,54558.13,76,Escalate,Pending,Moderate
ALT0042,CUST1297,High-Risk Jurisdiction Wire,2026-08-13,18442.51,73,Escalate,Escalate to Case,Moderate
ALT0043,CUST1014,High-Risk Jurisdiction Wire,2026-07-21,55692.47,76,Escalate,Close - No Suspicion,Moderate
ALT0044,CUST1241,High-Risk Jurisdiction Wire,2026-06-22,35891.59,74,Escalate,Close - No Suspicion,High
ALT0045,CUST1099,High-Risk Jurisdiction Wire,2026-04-19,78479.98,78,Escalate,Pending,Moderate
ALT0046,CUST1265,High-Risk Jurisdiction Wire,2026-08-08,27430.84,74,Escalate,Escalate to Case,High
ALT0047,CUST1102,High-Risk Jurisdiction Wire,2026-07-02,28882.85,74,Escalate,Escalate to Case,High
ALT0048,CUST1265,High-Risk Jurisdiction Wire,2026-06-04,65323.32,77,Escalate,Escalate to Case,High
ALT0049,CUST1132,High-Risk Jurisdiction Wire,2026-06-05,54587.24,76,Escalate,Close - No Suspicion,Moderate
ALT0050,CUST1116,High-Risk Jurisdiction Wire,2026-09-01,72010.11,78,Escalate,Pending,High
ALT0051,CUST1099,High-Risk Jurisdiction Wire,2026-03-19,49832.5,76,Escalate,Pending,Moderate
ALT0052,CUST1014,High-Risk Jurisdiction Wire,2026-03-26,27414.95,74,Escalate,SAR Consideration,Moderate
ALT0053,CUST1205,High-Risk Jurisdiction Wire,2026-05-17,83462.34,78,Escalate,Close - No Suspicion,High
ALT0054,CUST1014,High-Risk Jurisdiction Wire,2026-06-12,77554.06,78,Escalate,Close - No Suspicion,Moderate
ALT0055,CUST1252,High-Risk Jurisdiction Wire,2026-01-02,77483.18,78,Escalate,Close - No Suspicion,High
ALT0056,CUST1182,High-Risk Jurisdiction Wire,2026-01-07,43472.45,75,Escalate,Escalate to Case,High
ALT0057,CUST1122,High-Risk Jurisdiction Wire,2026-06-13,89138.74,79,Escalate,Close - No Suspicion,Moderate
ALT0058,CUST1143,High-Risk Jurisdiction Wire,2026-05-29,30408.96,74,Escalate,Escalate to Case,High
ALT0059,CUST1262,High-Risk Jurisdiction Wire,2026-06-24,13609.29,73,Escalate,Escalate to Case,Moderate
ALT0060,CUST1252,High-Risk Jurisdiction Wire,2026-04-24,49234.28,76,Escalate,Pending,High
ALT0061,CUST1265,High-Risk Jurisdiction Wire,2026-03-30,77508.75,78,Escalate,Pending,High
ALT0062,CUST1116,High-Risk Jurisdiction Wire,2026-01-30,45974.57,75,Escalate,Pending,High
ALT0063,CUST1252,High-Risk Jurisdiction Wire,2026-08-25,55913.84,76,Escalate,Pending,High
