customer_id,total_transactions,total_volume,avg_transaction_amount,max_transaction_amount,cross_border_ratio,high_risk_country_ratio,cash_ratio,wire_ratio,unique_counterparties,kyc_risk,pep_flag,expected_monthly_volume,max_expected_ratio,risk_score,risk_level
CUST1000,46,73515.5,1598.1630434782608,7554.27,0.32608695652173914,0.06521739130434782,0.1956521739130435,0.1956521739130435,46,Low,0,4304.87,4.8963871150580625,50,Moderate
CUST1001,58,108044.17,1862.8305172413793,11791.73,0.4827586206896552,0.10344827586206896,0.25862068965517243,0.10344827586206896,57,Medium,0,1453.54,15.360444157023544,67,High
CUST1002,42,90881.73,2163.8507142857143,16954.02,0.6190476190476191,0.16666666666666666,0.2857142857142857,0.23809523809523808,42,Low,0,9230.29,2.921700184934601,55,Moderate
CUST1003,46,104010.24,2261.0921739130436,8406.22,0.5,0.08695652173913043,0.21739130434782608,0.08695652173913043,46,Low,0,11785.2,1.867885992600889,35,Moderate
CUST1004,59,116278.93,1970.8293220338983,13637.28,0.4745762711864407,0.05084745762711865,0.3050847457627119,0.0847457627118644,59,Low,0,3709.21,5.84963914148835,60,High
CUST1005,59,163100.2,2764.4101694915257,12807.98,0.4915254237288136,0.0847457627118644,0.23728813559322035,0.1864406779661017,58,Low,0,3156.31,10.697314268877266,50,Moderate
CUST1006,43,100056.77,2326.901627906977,16392.04,0.4883720930232558,0.046511627906976744,0.27906976744186046,0.11627906976744186,43,Low,0,1271.07,14.953307056259687,40,Moderate
CUST1007,54,106904.82,1979.718888888889,9870.88,0.35185185185185186,0.05555555555555555,0.25925925925925924,0.09259259259259259,53,Low,0,6465.0,4.852900232018562,60,High
CUST1008,39,91097.83,2335.8417948717947,10621.22,0.358974358974359,0.02564102564102564,0.3076923076923077,0.07692307692307693,39,Low,0,21088.47,0.7346279744334226,15,Low
CUST1009,54,146275.36,2708.8029629629627,11584.16,0.2962962962962963,0.14814814814814814,0.2037037037037037,0.05555555555555555,53,Low,0,5802.96,6.111450018611191,50,Moderate
CUST1010,51,98678.08,1934.8643137254903,9664.45,0.29411764705882354,0.0,0.1568627450980392,0.13725490196078433,51,Low,0,8278.42,3.331211752967354,30,Moderate
CUST1011,45,87785.94,1950.7986666666668,7295.19,0.26666666666666666,0.044444444444444446,0.2222222222222222,0.08888888888888889,45,Medium,0,5178.95,3.9300109095473026,37,Moderate
CUST1012,55,124778.64,2268.7025454545455,14277.75,0.3090909090909091,0.07272727272727272,0.21818181818181817,0.16363636363636364,52,Low,1,1919.35,16.21917315757939,65,High
CUST1013,56,130233.74,2325.6025,10459.44,0.32142857142857145,0.07142857142857142,0.21428571428571427,0.14285714285714285,54,Low,0,8680.52,2.750438913797791,35,Moderate
CUST1014,50,340692.56,6813.8512,80842.0,0.44,0.22,0.18,0.2,49,Low,0,1631.94,65.12143828817236,50,Moderate
CUST1015,50,118924.27,2378.4854,10871.18,0.36,0.04,0.2,0.18,50,Medium,0,3175.02,6.930712247481906,37,Moderate
CUST1016,45,90690.54,2015.3453333333332,6803.0,0.35555555555555557,0.13333333333333333,0.2222222222222222,0.13333333333333333,44,Low,0,4364.48,5.621595241586627,50,Moderate
CUST1017,51,128398.49,2517.6174509803923,25144.12,0.49019607843137253,0.0784313725490196,0.1568627450980392,0.13725490196078433,50,Low,0,6463.27,5.603516486236843,50,Moderate
CUST1018,54,115293.73,2135.069074074074,17306.58,0.37037037037037035,0.037037037037037035,0.2037037037037037,0.16666666666666666,53,Medium,0,4771.38,5.022161303438419,37,Moderate
CUST1019,66,166680.62,2525.463939393939,9765.6,0.30303030303030304,0.07575757575757576,0.30303030303030304,0.13636363636363635,64,Low,0,4681.82,8.474608165200712,60,High
CUST1020,48,123851.78,2580.2454166666666,14217.87,0.4583333333333333,0.041666666666666664,0.375,0.14583333333333334,48,High,0,2219.49,11.993994115765334,55,Moderate
CUST1021,57,156580.3,2747.0228070175435,14978.18,0.42105263157894735,0.05263157894736842,0.22807017543859648,0.15789473684210525,57,High,0,1574.84,28.142008077011003,65,High
CUST1022,40,77170.59,1929.2647499999998,12295.37,0.275,0.075,0.275,0.175,39,Low,0,3789.4,7.3572333350926264,50,Moderate
CUST1023,54,116578.47,2158.8605555555555,11812.24,0.25925925925925924,0.09259259259259259,0.2777777777777778,0.16666666666666666,54,Medium,0,2294.74,13.409118244332694,67,High
CUST1024,44,128792.9,2927.1113636363634,9174.33,0.38636363636363635,0.11363636363636363,0.4090909090909091,0.09090909090909091,43,Low,0,1556.1,19.697988561146456,60,High
CUST1025,48,116071.91,2418.1647916666666,12365.56,0.4791666666666667,0.0625,0.2916666666666667,0.125,47,Low,0,1599.0,22.091413383364603,60,High
CUST1026,59,121048.87,2051.6757627118645,18675.54,0.3389830508474576,0.06779661016949153,0.2542372881355932,0.13559322033898305,59,Low,0,2647.62,10.629444557753757,60,High
CUST1027,61,112930.29,1851.3162295081966,8643.86,0.4098360655737705,0.08196721311475409,0.19672131147540983,0.09836065573770492,61,Medium,0,1092.06,21.83949599838837,57,Moderate
CUST1028,46,102435.88,2226.866956521739,14757.66,0.30434782608695654,0.043478260869565216,0.21739130434782608,0.06521739130434782,46,High,0,1516.48,14.807363104030387,45,Moderate
CUST1029,58,188312.63,3246.7694827586206,19449.96,0.3448275862068966,0.15517241379310345,0.3103448275862069,0.15517241379310345,58,Low,0,1257.85,33.59608856381922,60,High
CUST1030,47,107966.97,2297.169574468085,12791.87,0.3404255319148936,0.02127659574468085,0.14893617021276595,0.1702127659574468,47,Medium,0,4098.88,10.934272289015537,37,Moderate
CUST1031,44,73939.77,1680.4493181818182,8660.73,0.5,0.1590909090909091,0.09090909090909091,0.3181818181818182,43,Low,0,4746.63,4.948696232906293,60,High
CUST1032,45,83531.86,1856.2635555555555,8925.69,0.4444444444444444,0.17777777777777778,0.2222222222222222,0.15555555555555556,45,Low,1,13421.88,1.316194154619174,50,Moderate
CUST1033,54,112782.74,2088.5692592592595,10034.16,0.3333333333333333,0.05555555555555555,0.3148148148148148,0.1111111111111111,54,High,0,1375.55,23.825255352404493,75,High
CUST1034,43,83412.8,1939.832558139535,10897.77,0.46511627906976744,0.11627906976744186,0.18604651162790697,0.16279069767441862,43,Medium,0,2340.83,6.929866756663235,57,Moderate
CUST1035,66,156785.28,2375.5345454545454,18776.89,0.42424242424242425,0.045454545454545456,0.3181818181818182,0.16666666666666666,66,Low,0,6589.27,5.88921231031662,40,Moderate
CUST1036,53,109989.18,2075.267547169811,18467.62,0.4528301886792453,0.03773584905660377,0.11320754716981132,0.16981132075471697,52,High,0,3162.43,11.844609999272711,45,Moderate
CUST1037,45,201285.4,4473.008888888889,19713.82,0.4222222222222222,0.044444444444444446,0.3111111111111111,0.06666666666666667,45,Low,0,2943.78,30.09897818451107,40,Moderate
CUST1038,44,84251.08,1914.7972727272727,14514.06,0.29545454545454547,0.045454545454545456,0.1590909090909091,0.022727272727272728,42,Low,0,11058.56,1.7910984793680191,15,Low
CUST1039,56,100191.53,1789.1344642857143,15360.13,0.44642857142857145,0.10714285714285714,0.23214285714285715,0.10714285714285714,53,Low,0,2922.04,8.921479514311919,50,Moderate
CUST1040,49,101137.42,2064.0289795918366,14495.26,0.32653061224489793,0.061224489795918366,0.16326530612244897,0.16326530612244897,49,High,0,1717.24,15.237136335049264,65,High
CUST1041,58,122229.89,2107.411896551724,28583.59,0.4482758620689655,0.13793103448275862,0.20689655172413793,0.1724137931034483,54,Low,0,1546.87,33.359151059882215,50,Moderate
CUST1042,50,94966.02,1899.3204,19331.21,0.48,0.08,0.18,0.16,49,High,0,4528.75,8.687169748826939,65,High
CUST1043,43,67441.74,1568.412558139535,7616.56,0.32558139534883723,0.0,0.16279069767441862,0.11627906976744186,43,Medium,0,4439.99,3.932463811855432,37,Moderate
CUST1044,52,167460.03,3220.3851923076923,15816.73,0.3269230769230769,0.038461538461538464,0.34615384615384615,0.057692307692307696,52,Low,0,1492.78,20.87771138412894,40,Moderate
CUST1045,53,117632.06,2219.4728301886794,16736.33,0.32075471698113206,0.09433962264150944,0.2641509433962264,0.11320754716981132,52,Low,0,1918.87,14.034291015024468,60,High
CUST1046,51,110621.8,2169.0549019607843,26896.52,0.43137254901960786,0.09803921568627451,0.27450980392156865,0.0784313725490196,51,Low,0,5154.18,8.12574648149657,60,High
CUST1047,48,108032.39,2250.674791666667,10762.38,0.375,0.10416666666666667,0.125,0.1875,48,Low,0,5298.74,5.885463336566807,50,Moderate
CUST1048,49,164966.24,3366.6579591836735,23698.47,0.2653061224489796,0.08163265306122448,0.2857142857142857,0.061224489795918366,48,Medium,0,2396.84,15.553729076617547,67,High
CUST1049,53,155030.49,2925.1035849056602,19933.29,0.5094339622641509,0.05660377358490566,0.22641509433962265,0.1320754716981132,53,Medium,0,5455.83,6.632752486789361,57,Moderate
CUST1050,52,131745.07,2533.5590384615384,39073.07,0.38461538461538464,0.1346153846153846,0.23076923076923078,0.09615384615384616,52,High,0,5280.13,11.80519040250903,65,High
CUST1051,53,111695.07,2107.454150943396,14438.96,0.3584905660377358,0.018867924528301886,0.2830188679245283,0.05660377358490566,52,Low,0,1142.53,25.85119865561517,40,Moderate
