transaction_id,customer_id,transaction_date,channel,direction,amount,counterparty_country,counterparty_id,customer_name,customer_type,country,occupation_industry,kyc_risk,pep_flag,expected_monthly_volume,account_open_date,month,is_cross_border,is_high_risk_country,is_cash,is_wire
TX100000,CUST1019,2026-01-23 00:00:00,ACH,Debit,2111.85,US,CP2154,Customer 20,Business,NG,Education,Low,0,4681.82,2019-04-03,2026-01,0,0,0,0
TX100001,CUST1072,2026-01-30 00:00:00,Card,Debit,15422.19,US,CP1789,Customer 73,Business,SG,Student,Medium,0,11869.77,2024-11-06,2026-01,0,0,0,0
TX100002,CUST1293,2026-04-10 00:00:00,Cash Deposit,Credit,783.84,SY,CP1772,Customer 294,Individual,US,Consulting,Low,0,7339.11,2022-08-26,2026-04,1,1,1,0
TX100003,CUST1087,2026-05-14 00:00:00,P2P,Debit,1418.49,US,CP1203,Customer 88,Individual,NG,Consulting,Medium,0,8462.99,2020-01-04,2026-05,0,0,0,0
TX100004,CUST1118,2026-06-22 00:00:00,ACH,Credit,736.6,US,CP1231,Customer 119,Individual,CA,Hospitality,Low,0,3314.15,2020-03-08,2026-06,0,0,0,0
TX100005,CUST1052,2026-02-23 00:00:00,ACH,Credit,670.89,US,CP1617,Customer 53,Individual,US,Retail,Medium,0,2972.5,2021-09-11,2026-02,0,0,0,0
TX100006,CUST1015,2026-06-27 00:00:00,P2P,Debit,2693.99,NG,CP2438,Customer 16,Individual,GH,Construction,Medium,0,3175.02,2024-02-18,2026-06,1,0,0,0
TX100007,CUST1271,2026-07-13 00:00:00,ACH,Credit,4260.81,US,CP1601,Customer 272,Individual,US,Construction,Low,0,2054.95,2020-06-08,2026-07,0,0,0,0
TX100008,CUST1178,2026-01-15 00:00:00,Wire,Credit,3010.97,US,CP1405,Customer 179,Individual,US,Consulting,Medium,1,1649.33,2024-08-26,2026-01,0,0,0,1
TX100009,CUST1266,2026-02-22 00:00:00,Wire,Credit,88.0,US,CP1640,Customer 267,Business,US,Student,Medium,0,15096.05,2020-06-08,2026-02,0,0,0,1
TX100010,CUST1249,2026-07-22 00:00:00,P2P,Credit,3069.64,MX,CP2469,Customer 250,Individual,US,Education,Low,0,13237.67,2024-09-13,2026-07,1,0,0,0
TX100011,CUST1108,2026-07-22 00:00:00,ACH,Credit,1105.21,US,CP1070,Customer 109,Individual,US,Logistics,High,0,2929.8,2021-03-23,2026-07,0,0,0,0
TX100012,CUST1144,2026-08-14 00:00:00,ACH,Debit,377.64,US,CP1784,Customer 145,Individual,US,Retail,Low,0,7938.7,2020-11-01,2026-08,0,0,0,0
TX100013,CUST1207,2026-04-11 00:00:00,Cash Deposit,Debit,527.68,US,CP1774,Customer 208,Business,US,Logistics,High,0,5243.57,2025-04-24,2026-04,0,0,1,0
