transaction_id,customer_id,transaction_date,channel,direction,amount,counterparty_country,counterparty_id
TX100000,CUST1019,2026-01-23 00:00:00,ACH,Debit,2111.85,US,CP2154
TX100001,CUST1072,2026-01-30 00:00:00,Card,Debit,15422.19,US,CP1789
TX100002,CUST1293,2026-04-10 00:00:00,Cash Deposit,Credit,783.84,SY,CP1772
TX100003,CUST1087,2026-05-14 00:00:00,P2P,Debit,1418.49,US,CP1203
TX100004,CUST1118,2026-06-22 00:00:00,ACH,Credit,736.6,US,CP1231
TX100005,CUST1052,2026-02-23 00:00:00,ACH,Credit,670.89,US,CP1617
TX100006,CUST1015,2026-06-27 00:00:00,P2P,Debit,2693.99,NG,CP2438
TX100007,CUST1271,2026-07-13 00:00:00,ACH,Credit,4260.81,US,CP1601
TX100008,CUST1178,2026-01-15 00:00:00,Wire,Credit,3010.97,US,CP1405
TX100009,CUST1266,2026-02-22 00:00:00,Wire,Credit,88.0,US,CP1640
TX100010,CUST1249,2026-07-22 00:00:00,P2P,Credit,3069.64,MX,CP2469
TX100011,CUST1108,2026-07-22 00:00:00,ACH,Credit,1105.21,US,CP1070
TX100012,CUST1144,2026-08-14 00:00:00,ACH,Debit,377.64,US,CP1784
TX100013,CUST1207,2026-04-11 00:00:00,Cash Deposit,Debit,527.68,US,CP1774
TX100014,CUST1233,2026-02-24 00:00:00,P2P,Credit,131.76,US,CP2024
TX100015,CUST1147,2026-08-21 00:00:00,Card,Debit,2217.26,MX,CP1163
TX100016,CUST1011,2026-06-04 00:00:00,Cash Withdrawal,Credit,1096.88,MX,CP2496
TX100017,CUST1084,2026-04-01 00:00:00,Wire,Debit,1499.56,GB,CP1150
TX100018,CUST1093,2026-05-13 00:00:00,Check,Debit,559.81,US,CP1560
TX100019,CUST1104,2026-05-04 00:00:00,Wire,Debit,481.8,SY,CP1917
TX100020,CUST1176,2026-02-25 00:00:00,Card,Debit,2408.23,US,CP2474
TX100021,CUST1289,2026-01-27 00:00:00,Card,Debit,2925.29,AE,CP2039
TX100022,CUST1044,2026-09-04 00:00:00,P2P,Debit,1197.17,US,CP1068
TX100023,CUST1102,2026-03-11 00:00:00,Cash Deposit,Credit,1115.48,US,CP1900
TX100024,CUST1080,2026-08-24 00:00:00,ACH,Credit,2582.07,US,CP1720
TX100025,CUST1173,2026-04-14 00:00:00,Cash Withdrawal,Credit,8994.67,US,CP1052
TX100026,CUST1244,2026-04-19 00:00:00,ACH,Credit,1778.17,US,CP1500
TX100027,CUST1283,2026-08-12 00:00:00,Check,Credit,1217.84,CA,CP1039
TX100028,CUST1152,2026-06-04 00:00:00,Cash Deposit,Credit,956.18,US,CP1810
TX100029,CUST1089,2026-05-27 00:00:00,Cash Deposit,Credit,2235.66,US,CP1825
TX100030,CUST1065,2026-01-22 00:00:00,Check,Debit,1026.24,US,CP2358
TX100031,CUST1242,2026-07-22 00:00:00,Card,Debit,1677.65,US,CP1270
TX100032,CUST1013,2026-03-30 00:00:00,Wire,Credit,2377.23,GB,CP1827
TX100033,CUST1034,2026-08-02 00:00:00,Check,Credit,679.49,MX,CP2338
TX100034,CUST1018,2026-07-20 00:00:00,Check,Credit,4729.2,US,CP1352
TX100035,CUST1219,2026-01-23 00:00:00,ACH,Credit,12042.6,US,CP1976
TX100036,CUST1255,2026-06-08 00:00:00,Cash Deposit,Credit,639.54,US,CP2229
TX100037,CUST1242,2026-03-20 00:00:00,Cash Deposit,Credit,3251.25,US,CP1695
TX100038,CUST1082,2026-05-29 00:00:00,Cash Withdrawal,Credit,224.18,GB,CP1909
TX100039,CUST1251,2026-07-28 00:00:00,P2P,Credit,3050.08,US,CP2328
TX100040,CUST1001,2026-07-24 00:00:00,Cash Deposit,Credit,201.77,NG,CP1204
TX100041,CUST1292,2026-07-08 00:00:00,P2P,Credit,5551.65,US,CP2160
TX100042,CUST1179,2026-02-12 00:00:00,P2P,Credit,3666.09,SG,CP1040
TX100043,CUST1213,2026-05-22 00:00:00,Cash Deposit,Debit,218.47,AE,CP1287
TX100044,CUST1029,2026-04-30 00:00:00,ACH,Debit,735.59,AE,CP1488
TX100045,CUST1293,2026-04-11 00:00:00,Wire,Debit,172.42,US,CP1198
TX100046,CUST1117,2026-05-28 00:00:00,Cash Deposit,Debit,9969.65,SG,CP2429
TX100047,CUST1083,2026-05-05 00:00:00,P2P,Debit,6893.41,NG,CP2444
